N	id	H	soln
24	11	-60	100110111100110001000010
24	12	-56	111000001111100101001100
24	13	-52	011101110010010011011010
24	14	-56	111011000011101000001110
24	15	-52	111010110010100001001100
24	16	-56	111010010101010011010100
24	17	-56	101010101110101001000110
24	18	-56	011001001110110011110000
24	19	-64	011011100101011010001100
26	0	-58	01111001100110000010111110
26	1	-62	10000001011101101100110110
26	2	-62	11010101101010101010100010
26	3	-62	00010011100101001110110110
26	4	-54	11101101000010001101101010
26	5	-62	11110001001011001111000010
26	6	-58	00110010101001001111110000
26	7	-62	10010111001110001010101010
26	8	-62	00011111111010000100101100
26	9	-58	00110100011111001010011000
26	10	-54	01101000011100000010111100
26	11	-62	10001100011101000110111100
26	12	-62	01110110010000001100111110
26	13	-62	11011000101100101011011000
26	14	-62	01011100001110111110010000
26	15	-62	01111110001001101001010100
26	16	-62	00011001111111011100010000
26	17	-58	01100100100111011110111000
26	18	-62	01100010110111001110100010
26	19	-62	10000101010110111000110110
28	0	-64	1001001111110010011001100110
28	1	-64	0110011000111101111100000110
28	2	-60	1100010100111000111100111000
28	3	-64	1100011110101010110111000010
28	4	-64	1001000111100100001111101000
28	5	-64	0111111001010100110001100110
28	6	-68	0110100101011000111011001100
28	7	-64	0011010100101010011111101010
28	8	-64	1001111101010100001110101100
28	9	-60	1110010011010000101011101010
28	10	-68	0010001011000001111110011110
28	11	-68	0111111000010001111110001000
28	12	-64	1000101000101010110010011110
28	13	-64	0011010011010100001111110110
28	14	-72	0010111100111100100110011100
28	15	-68	1100010001111110111000001100
28	16	-64	0001111010101100101000100110
28	17	-64	0001001111100001101000101110
28	18	-68	1110011001011000110101001100
28	19	-68	1011010010010111100001101010
30	0	-70	110010001110110010001010110010
30	1	-78	001111100100010110001010101010
30	2	-74	111110001100100110000101011100
30	3	-66	111111100011010101000001010010
30	4	-70	010001110010000101110011110010
30	5	-66	001011001010110011010000111110
30	6	-74	011001011110001101001101110000
30	7	-74	110110000010101110010101001110
30	8	-66	011000000111000011111010111010
30	9	-78	110110110001111011111000000100
30	10	-70	111010011100100011010010111010
30	11	-70	100110100000101100011100110110
30	12	-70	011011010110010000111101011100
30	13	-70	100001100110010001110001011110
30	14	-70	001100011000101001101011001110
30	15	-70	111100011001110110000111001100
30	16	-70	101111100011111011010010100000
30	17	-70	101010010000110101001110110100
30	18	-70	100100110010100000111010101110
30	19	-74	100101101011011111001100010000
32	0	-76	11001011001010011010111000010010
32	1	-72	01101100100001001101010111010110
32	2	-80	01001011001011010011110001001110
32	3	-72	00101011001101001101111100101000
32	4	-76	10110001100100001010011001111010
32	5	-72	00101001000100001001011110101110
32	6	-84	10010001111000101100110110001010
32	7	-80	01001001100111001100001011111010
32	8	-76	11110010110000100001100011011010
32	9	-76	11100010110011011011000011011100
32	10	-76	00000001011111100101011110011000
32	11	-72	00101111111000001111010010110000
32	12	-72	00001011010000001111010101111110
32	13	-68	10101010010010101010111010010010
32	14	-72	10011100010111101010001001110010
32	15	-76	10100111100010101011010000110100
32	16	-80	10001110011101100001010101010110
32	17	-76	10101110111110000101100100111000
32	18	-76	11010000111011110010001011000100
32	19	-80	01011010011001010100011101001110
34	0	51	47	-86	0111011010101101000100110011010100
34	1	51	46	-82	1111010011101000000000101110010110
34	2	51	46	-82	0101011110100101001001000010100111
34	3	51	46	-82	0111100111001000100011100011100010
34	4	51	46	-82	1001010110100001011101110011000111
34	5	51	44	-74	1000010001110110001110100110111000
34	6	51	47	-86	0011000101010001100010011111001111
34	7	51	47	-86	1000101110100110010010101001110011
34	8	51	49	-94	1111000010101111101011000011100000
34	9	51	47	-86	0110010110110110100100110101010010
34	10	51	45	-78	1011001010011000010100111001110011
34	11	51	46	-82	1111010110100000101101110100110010
34	12	51	47	-86	0011100100101101100101110011110000
34	13	51	46	-82	1101100000110011101100010010110111
34	14	51	45	-78	1000100101001100110101101110110010
34	15	51	44	-74	0001111000011011000111110101001011
34	16	51	47	-86	0101001000111000011011101010111010
34	17	51	49	-94	1000111001010001011011111111000000
34	18	51	44	-74	0101001111011000100101110001010111
34	19	51	46	-82	1101111100111010010100000000010110
36	0	54	49	-88	111100010010100100010001110100111010
36	1	54	48	-84	010100001011110101010110100111010001
36	2	54	48	-84	101110010111100110000010010111001001
36	3	54	48	-84	001111001111100010111000111000101000
36	4	54	48	-84	111100010110000011000101000101101001
36	5	54	48	-84	000010110011110010111110011100001100
36	6	54	50	-92	101001110111100111000011001100000011
36	7	54	49	-88	110001001111011000110000011111100101
36	8	54	48	-84	011001010111100001001100110110100101
36	9	54	48	-84	100100110100110001011001011111100100
36	10	54	48	-84	101101010110010000010111000100111110
36	11	54	49	-88	011010011111110110000101010010101001
36	12	54	48	-84	011001111000001111000011110011100100
36	13	54	47	-80	111011010000011011011001000000011110
36	14	54	48	-84	000110001000100101011110100111001111
36	15	54	49	-88	110100100110010111001110011101011000
36	16	54	49	-88	011110001000100011111010100000101110
36	17	54	49	-88	101011010110011011110010011001011000
36	18	54	48	-84	011000011010011100110101100110100110
36	19	54	47	-80	010101101001110011001000001101011111
38	0	57	51	-90	01100010011001110001011110001010110101
38	1	57	51	-90	11101110100100010111010000011110011000
38	2	57	52	-94	11111000111011000110010100000111010000
38	3	57	50	-86	11111011011000110010010000101000100110
38	4	57	51	-90	10011101010101111001010010110001010001
38	5	57	52	-94	01001100100110111101010010100000110101
38	6	57	50	-86	01101000011010101110100010001111111001
38	7	57	51	-90	11000101111001000111110110110100001000
38	8	57	51	-90	10000100101100011111111110010000011001
38	9	57	51	-90	10110000101110101101110110000110010010
38	10	57	52	-94	11001001111100100010010101101011010000
38	11	57	50	-86	00101101110110100000110010101010101111
38	12	57	50	-86	00001110011100111111010100101101001010
38	13	57	52	-94	01101000011001111011101101011100000101
38	14	57	52	-94	10010111101001001011100111001010101001
38	15	57	50	-86	00111101110111011111010100001000110000
38	16	57	52	-94	01001011011111111001001011000001010000
38	17	57	52	-94	10110101101001010010100000001100111110
38	18	57	49	-82	00010110011000101011101010110000111011
38	19	57	51	-90	00000011101101100100110111110000011011
40	0	60	54	-96	1110000010011010010111010101101001101010
40	1	60	53	-92	0110000011001011110011111101011001000110
40	2	60	53	-92	0100110011100111111111010011100010001000
40	3	60	56	-104	1001000111011101010100010010110101101001
40	4	60	53	-92	0000111110010111111111000110000010010110
40	5	60	53	-92	1001101100111111001110110010100100001100
40	6	60	54	-96	0110101101100010001010000101101101110110
40	7	60	54	-96	0101111001101111101010000001100101101000
40	8	60	54	-96	1011001010000011010111001110011001011001
40	9	60	53	-92	1010100110011111010101011000110110100100
40	10	60	55	-100	0001011110010000011001011101010101111110
40	11	60	55	-100	0101101101000000111111010101010111100100
40	12	60	53	-92	1110010010011000110100110110100010110111
40	13	60	55	-100	0010100111101010100100101110010111001101
40	14	60	53	-92	1111010001001101010000100001111101111010
40	15	60	53	-92	1011010011101001000100001110111010011000
40	16	60	53	-92	0100110010101010011001100001111011010111
40	17	60	54	-96	0100110001001000001001111110011100101111
40	18	60	52	-88	0011000100001010101100111110010001110001
40	19	60	54	-96	0010000100101001100110110110110100100011
42	0	63	56	-98	111000101101100100010000011001001111100011
42	1	63	57	-102	001000011010100111010011110101010111101011
42	2	63	56	-98	110001000101001011010010000110110011101110
42	3	63	56	-98	101011100100110010101100110000000100111101
42	4	63	55	-94	101110111000010011010011001010001111000101
42	5	63	58	-106	001001001110010111001001111001111001010011
42	6	63	57	-102	111101100100011001101010001101111010101100
42	7	63	58	-106	001010011001101001011110101011100101101010
42	8	63	57	-102	010110010011101110000100011011010001100001
42	9	63	57	-102	101000011110111010011100101101101100000100
42	10	63	57	-102	101011000111001011100100100011110111100110
42	11	63	56	-98	100100100101010100100011110011100101111101
42	12	63	56	-98	001001100011011101010000110111101100110101
42	13	63	57	-102	110110011000100010011101001001011101100110
42	14	63	56	-98	011110110000010010011110000011010101111101
42	15	63	56	-98	101001110011011100010110001100101000100110
42	16	63	57	-102	110010011001010101000100110001001010011011
42	17	63	58	-106	000100001000111001100011001101101011011011
42	18	63	57	-102	110101001001010011110100100111001000110011
42	19	63	58	-106	001000111101010001101101001111011011000101
44	0	66	59	-104	10001000101101100101000010101101111111110010
44	1	66	59	-104	01011010010111010000100111110101010010100111
44	2	66	60	-108	00101101100110000111100111000111001011100100
44	3	66	59	-104	01011101011000000100001000011111101011011010
44	4	66	59	-104	11010111110011100000100011110100010011001110
44	5	66	59	-104	10101111000110101001111010100100100100000110
44	6	66	58	-100	10110110111000000100001111000101000001001111
44	7	66	60	-108	01001010000101100110110111100010001111110001
44	8	66	59	-104	10001100111010001010101010111110111100000000
44	9	66	59	-104	11110110100000010110001111000110010100001101
44	10	66	61	-112	11001100100110110000111010000011010111001010
44	11	66	60	-108	11001010010000111011101101011001010100001101
44	12	66	59	-104	01000011011011001101100001011110100110001001
44	13	66	59	-104	10001101000110011011101001011010011111110000
44	14	66	58	-100	00000101111010101001010110010110101000110111
44	15	66	59	-104	10110001100011110000110001011100011011101000
44	16	66	61	-112	00101100011101001101010001111100000111010111
44	17	66	59	-104	01101000001000001010111111010110101001010110
44	18	66	60	-108	00110011011010001110011001010111101001001010
44	19	66	58	-100	11111000000010110010011100111111011001100000
46	0	69	63	-114	1111101001011001000010001101010011010100101011
46	1	69	62	-110	1100111101100100001000100101011100100110010101
46	2	69	63	-114	1101001010011010100001001010110110001001011111
46	3	69	63	-114	0100010111001100100111001101001011110110010010
46	4	69	63	-114	0001000101111000111011011000011110111101000001
46	5	69	63	-114	1011100001000100011010011111100000111001100111
46	6	69	63	-114	1000001011010010010101101110111101000001110110
46	7	69	61	-106	0100010000101011100000100101110111001110111110
46	8	69	63	-114	0001010110100010011011001101000111100101101000
46	9	69	62	-110	0111011100101110001111000110011001000011001000
46	10	69	63	-114	0111011000110010010001111101011010110000101010
46	11	69	62	-110	0001011001110101111001100110010110110001000001
46	12	69	63	-114	1100111011111111001101000001010001000010110001
46	13	69	63	-114	0010010011100111011010111001000101010100011011
46	14	69	64	-118	1000010001100111101111100010001001011111001101
46	15	69	62	-110	0000110100101101001010110011001110110101100010
46	16	69	63	-114	1100111110101001000110010110000000101110101011
46	17	69	63	-114	1010101111010010010100110101011110000010110100
46	18	69	63	-114	0011110010010110010011010110110000001101111010
46	19	69	63	-114	0000100110101001111110010100111100011100110010
48	0	72	64	-112	001101110010011000100011101010001100110101100111
48	1	72	65	-116	111010011110110101010001011100110000101010101100
48	2	72	65	-116	101101010001110000000000111101001011110110101001
48	3	72	66	-120	010000101011010111111001001010001101001101001011
48	4	72	65	-116	101001011011000010111110111011100010111000101000
48	5	72	64	-112	101101001101100010101001011010110011110000011100
48	6	72	65	-116	110001001101001011111100000000111111101100011001
48	7	72	64	-112	100001000001111110010111111010111001010010000110
48	8	72	67	-124	110110101011000110111111000111100010100000010011
48	9	72	65	-116	101101010011010101100001010011011101110101011000
48	10	72	66	-120	010000110010101010111100001011010100001110101111
48	11	72	65	-116	010111011000011010110100101010100101110010111001
48	12	72	65	-116	100100110001110100110001110101000101010001101011
48	13	72	63	-108	111010101111000110001010111110011101001001000100
48	14	72	66	-120	110100100110010110111101110101000010010011001100
48	15	72	63	-108	011100111000100001000001010101001101011011101110
48	16	72	64	-112	100011101001010111111001110011011001001100010110
48	17	72	65	-116	100000100010011001011101110101110111101000111001
48	18	72	64	-112	110000010110010010101010111011000110100011010111
48	19	72	66	-120	010111101100100011001110001110110010010111010000
50	0	75	68	-122	00000011111100011110011110010101000110010101000101
50	1	75	69	-126	10111011001111000011100010000011110111110000010100
50	2	75	69	-126	10100000100010000111001110001100101010101111111110
50	3	75	69	-126	11100001010100011001111000011000011100100111110110
50	4	75	68	-122	10011000011010011101010101001111010110100000101001
50	5	75	67	-118	01111111111100001100101000101011100100010000100011
50	6	75	68	-122	00100010101110011000001001011110001110111110011110
50	7	75	67	-118	01011100001011100010100101001101111100000111001110
50	8	75	67	-118	11100101001001001101101001100000010111111000011011
50	9	75	67	-118	01001101110001011011110111111000101100000010100111
50	10	75	69	-126	01110101011110100010101010101011101100100001110000
50	11	75	67	-118	01011100110011101011011110010101000011001000011001
50	12	75	66	-114	01101111010111100100100100000010011110101101010000
50	13	75	67	-118	00101100010001000111011011000010101111101001111001
50	14	75	66	-114	10111110000010010110110101110001010011001101101010
50	15	75	68	-122	01100111100010100111010110000101110101011010101100
50	16	75	69	-126	10101100000110101011100010010101011111010001001101
50	17	75	68	-122	10100111100100011100011110001101000111111000111000
50	18	75	68	-122	10110010001000101001110000111111011111000000111110
50	19	75	72	-138	00011000000011101110100010110111100100100011010111
52	0	78	70	-124	1010010101110001001101011000100010111001101010110011
52	1	78	72	-132	0001000101010110111000011111010001010111001100101011
52	2	78	69	-120	1001100111100001010010011100000010001111111001110111
52	3	78	70	-124	0000101100011100101101001101110110100110010100111001
52	4	78	70	-124	0001100011001110101101011101001001011001101100001110
52	5	78	71	-128	0111110101101000001101100101101100000001011100101001
52	6	78	73	-136	0110110010011101101001111100001111001110010000001000
52	7	78	70	-124	1101000110011111010000001010001000100111011101101011
52	8	78	73	-136	1000001001111111101111001000011101100011101001001010
52	9	78	71	-128	0110101011101001000011011001100110011011100110010000
52	10	78	71	-128	1111111100110000000100110101000111011010101111000010
52	11	78	70	-124	1011011001011001101110000000000001100110110111111010
52	12	78	70	-124	0111100010011111000111001000010010110111101010010010
52	13	78	72	-132	1011100011000111101111101110011001101000100000000101
52	14	78	70	-124	0100111110011111001111000010100000010110000111001011
52	15	78	71	-128	1010111000110100101100110110010100100111011100011100
52	16	78	70	-124	0100110100100001111100110111100011000001101101100011
52	17	78	70	-124	0001101111111010001110111000010100101110001011000010
52	18	78	70	-124	1001000011111010101000100110101111000011101001100101
52	19	78	71	-128	0110001010011101111111100011001101101001000010101001
54	0	81	73	-130	000001110100101110011101011011001010000100011111011001
54	1	81	74	-134	000010110100010111011001010011000011011111100011011101
54	2	81	73	-130	001000100110011110010011111101110000010000101011101110
54	3	81	73	-130	000101000111100000001111110110111000111000011011010110
54	4	81	73	-130	110111001011000010111101101101100111010100000000010000
54	5	81	73	-130	001011010010100101011010100100010101011111010111110101
54	6	81	73	-130	000010010111111110000010110001010011101000011110001111
54	7	81	74	-134	010101100100011101001111010010110011010111001100010000
54	8	81	73	-130	100000100110000100001111111111101000011010010011010111
54	9	81	74	-134	101011111010000101111001100000010010001011101011000110
54	10	81	75	-138	001100000010111011100001010101110100111110010011100101
54	11	81	73	-130	011101001010001100001001110100111001010101111000110101
54	12	81	74	-134	110001011101100010010010010101100101101000100111001011
54	13	81	73	-130	011001101000010110111001100100101111001110011010000110
54	14	81	73	-130	000000101111111100100101101001010111111000110011001000
54	15	81	74	-134	101101101010000011110000101010010111000111101100001100
54	16	81	73	-130	000110010111111100011000011000110100111100001011010000
54	17	81	75	-138	010010110110011100011111101101100010011001100001000110
54	18	81	74	-134	101010001111010010100011010001101000101101110001001110
54	19	81	73	-130	100001110000111011010001010000110001110100111001000111
56	0	84	77	-140	10111000101110111100111010000010010010110101011010010011
56	1	84	75	-132	00111010001001100110001101101101101010111010100010000110
56	2	84	78	-144	01001001100000111100001101011101011010111110000101101001
56	3	84	76	-136	10011100001111101111110001011000111011000000000100101101
56	4	84	75	-132	00000111001100010001111011101001110101010111011110001001
56	5	84	75	-132	00111000000101101010111001110001110010000101110110110100
56	6	84	74	-128	01000011110110110000000010000111101011111101101100010000
56	7	84	75	-132	10100001011110110011110000100011001001101010110000011011
56	8	84	76	-136	00101000001111001010011101101001110010110011111100000011
56	9	84	76	-136	00100011101011000101001001110110000100101101101100110111
56	10	84	75	-132	10000111110110101110000111001010001111110001010000010111
56	11	84	74	-128	11010001101100000100011101100000010011100111100001110101
56	12	84	75	-132	00111001010110010101110000101101111111100110010110010000
56	13	84	78	-144	11010100111010011011010100110010011010000011111000010000
56	14	84	74	-128	00101100100001100000000010110101110111101110110111101010
56	15	84	76	-136	00110001110111000101011100011110110100010101110011100101
56	16	84	76	-136	00001110001010010101111001111000111111101011001101001010
56	17	84	74	-128	00011110010010101011000011000010101101111010011010110110
56	18	84	76	-136	01010111000111001010100110111010000010110101011001101010
56	19	84	75	-132	01010010100001110000010011011001100110110001110101110110
58	0	87	78	-138	0001010111110100111110000111111100000000010111101000101110
58	1	87	79	-142	1100001101001110100111000110110100101010100010111000100111
58	2	87	79	-142	0101000111000011111000010111000000100111010111110001011101
58	3	87	78	-138	0100110101101011101111110000100101000000001101101011110011
58	4	87	80	-146	0111100011010010101100100010110100001100000011011110010111
58	5	87	79	-142	0100001110000010111000010111110110011111101011000100101010
58	6	87	77	-134	1001010000101110000110110010110010000001110011111101110110
58	7	87	76	-130	0010010010001101110001110000111001111010110110010001010101
58	8	87	79	-142	1001110000100101011011111000110110110111001101100001101001
58	9	87	78	-138	0010011010000010010101001010110001001111001101111111001100
58	10	87	78	-138	1000101000001111011101111010011101011010000000011011100001
58	11	87	79	-142	1101001000001001110000101111100101001111010101000101001001
58	12	87	77	-134	0010001100110111100111101111001001111001100000010001100110
58	13	87	78	-138	0100001110101001010101001101011011010011001000100111111000
58	14	87	81	-150	1000110110111000000001111100101101111010101010110101000100
58	15	87	77	-134	0110000100110010011110011000000101001101100011001111011111
58	16	87	78	-138	1101111110110110010100000001100010111100100010101001101011
58	17	87	79	-142	0110000010100011010000111110110110110011101101001011001100
58	18	87	80	-146	1011111110101100011000110100000101100101010101000011111100
58	19	87	77	-134	1100101011000111011100111010100001101111011001010001001101
60	0	90	81	-144	100000101000000001100001001011111110100111001101011001110111
60	1	90	81	-144	110110110011010010010111001010111010111100100100110010010100
60	2	90	82	-148	001101100101101101101010000010001001110001101101010111001011
60	3	90	81	-144	111011010101111110101010110010001010000100000010001011111101
60	4	90	81	-144	011011111010001011100001100100101100101100111001010100001100
60	5	90	82	-148	010001000101101011000100111000010100111111110010100001111000
60	6	90	82	-148	011000101101010100011001101101100111011110100000101011100100
60	7	90	81	-144	100111001000011101100010001101001011010110110000101001001111
60	8	90	81	-144	011000111111111100100100010001100001000110110001111110111000
60	9	90	81	-144	011010100011110011100100011110001011100001111101001011010010
60	10	90	81	-144	101011011111110101010010011010000110110000001001101010101110
60	11	90	83	-152	001000001111010100000100111100100011101101110111001101000011
60	12	90	81	-144	100101010010001001001111101011001001000011011111101010000110
60	13	90	81	-144	100000110011001010000111011011110110000011011101100011111010
60	14	90	82	-148	110001010110000011100010011010110001100001101111011101001101
60	15	90	80	-140	110010100110000000001100111001110110111101100100111010000111
60	16	90	82	-148	011101100101111001100111011110101000010001011101001010001000
60	17	90	82	-148	001011111100111100110000100000011010101001000110111001110110
60	18	90	80	-140	001011100110111101001110111010110001001101010001001110100000
60	19	90	82	-148	101110001110100100000101010110111000110010111010111010100010
62	0	93	84	-150	00010101111101101001101110110100111000010111110111001000010000
62	1	93	85	-154	01110010110110010011000100110011100110011100111011001110000001
62	2	93	85	-154	00010001100001110011111100000010101111000101111011100011011001
62	3	93	84	-150	01011110011001110110001100000101100011011111010000110111000011
62	4	93	84	-150	01110010011011100101001100101001011100110100010010011101011011
62	5	93	84	-150	11000000110010110111100001001101100110100001111010011010101100
62	6	93	85	-154	01111111111101000110001011011000100000110010010110100100010110
62	7	93	84	-150	01000111011010110111000111011100011011001000100111100000101000
62	8	93	84	-150	10100011001101011011100111011100000110001011011111001000100011
62	9	93	85	-154	11010011100101110101111010111011000010001100001100001101011000
62	10	93	82	-142	10111001011110110001100110001011010011100001001010010101000110
62	11	93	86	-158	11110000011110001101001100111100101101110001000101101110010001
62	12	93	84	-150	11000101101110110111001010010000101110010100101000101001100110
62	13	93	85	-154	11111000101001101010010010001111101110001101000110000000101100
62	14	93	84	-150	10010000010111100101111100111010000010100011010010110100110101
62	15	93	86	-158	10111011000101000010101111010110011001000001011010100010101011
62	16	93	85	-154	11101001100101110100111011110110011000000011111011100010101000
62	17	93	83	-146	01100100010111101110101110001010101110010110011011000010001100
62	18	93	86	-158	10001011101011000001100000010010110001001111001101011111111101
62	19	93	86	-158	10010110111101000110011111101011110110011001010001000001100100
64	0	96	88	-160	0110000111111110110101101101010011001001010010101000110011110010
64	1	96	87	-156	0100101101101110111001100110101100001101100101001111100010010100
64	2	96	88	-160	0110011001100010101111101111110010001010111100010110100001000010
64	3	96	89	-164	0111111001010010000100011010101111011010100100011011000111000010
64	4	96	86	-152	1001100101100011101101010011000001110101110101001101101010000101
64	5	96	88	-160	0011110100100100000011011111111000011010100001001101011101100101
64	6	96	87	-156	1110000010001111010011000111100001011100110011100110100011111001
64	7	96	86	-152	0111100111001001111011111000101101001010011010010110011000000010
64	8	96	86	-152	1000000011110000110111001010111010011110010101111110100100001010
64	9	96	90	-168	1110110011110100100011000000111111000011110010101010110010101011
64	10	96	87	-156	1011100001010111100101011101101000101001010011110100111000001000
64	11	96	89	-164	0110111000111000111010111110100100110000110010010100101011010000
64	12	96	87	-156	1111101000011101010011010011010101001001100011010001110010110000
64	13	96	87	-156	1010111011100001001010111011101001010100101010000101101011100011
64	14	96	86	-152	1000001001110010101001001011110001110000011000101110011101100101
64	15	96	87	-156	1101011001111001001111100000001011000101101101011101000110101100
64	16	96	87	-156	1010110000100010110001101110100010001110110110010011101000100111
64	17	96	86	-152	1101100101001000010010101110111101011100111000010100010110101010
64	18	96	87	-156	0100011101101101010010000101100111100000110100111100111001110101
64	19	96	86	-152	0001110000110101011001101100110100000101101011101000001001011101
66	0	99	90	-162	001111011001011000010010010001011111011010001101010101101011001110
66	1	99	89	-158	000110010001111000111101010100000101110100111100111111110001100000
66	2	99	89	-158	001011101011001000111001101100000000101011100011011110001110111010
66	3	99	89	-158	011001011101010000111001000101111010100100010101101110001011110010
66	4	99	91	-166	000011110001011001011001110101110000100100101101011110101100000100
66	5	99	90	-162	011000000011011111010110100000101001101111000011100110010100010111
66	6	99	91	-166	101001100111100110111101010011000000100101010101001101110010011100
66	7	99	91	-166	011111010001010100010010101000110010110011110000101111101010100110
66	8	99	89	-158	001100010000010000101110001001111110101100101111110001111101100100
66	9	99	92	-170	011100101011101111010110011000100100011011001110010000001111010101
66	10	99	91	-166	011100001000111000110101110110111001110100100001110010110001011100
66	11	99	89	-158	101001110000100111001101111101000011010001110111010011001001001001
66	12	99	90	-162	111000111110110100010001110100111101010000110011110101100100100001
66	13	99	90	-162	100111010111000000101111001001000111000011010011101110010001010110
